Employee ID,Date,AM Time In,AM Time Out,PM Time In,PM Time Out
E003,2026-09-01,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-02,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-03,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-04,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-07,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-08,,,,
E003,2026-09-09,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-10,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-11,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-14,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-09-15,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-01,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-02,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-03,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-04,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-07,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-08,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-09,08:00 AM,12:00 PM,,
E005,2026-09-10,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-11,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-14,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-09-15,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-17,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-18,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-19,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-20,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-21,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-24,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-25,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-26,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-27,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-28,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E003,2026-08-31,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-17,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-18,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-19,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-20,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-21,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-24,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-25,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-26,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-27,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-28,08:00 AM,12:00 PM,01:00 PM,05:00 PM
E005,2026-08-31,08:00 AM,12:00 PM,01:00 PM,05:00 PM
